Domain name,name,title,description,robots,viewport,canonical,ogLocale,ogSiteName,ogType,ogTitle,ogDescription,ogUrl,ogImage,ogImageAlt,Domain type,Agency,Organization name,City,State,score,count
niem.gov,Department Of Homeland Security,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Homeland Security,"Department of Homeland Security, Office of the Chief Information Officer",Washington,DC,23.0,3
readybusiness.gov,Department Of Homeland Security,1,1,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,Washington,DC,31.0,4
preventionresourcefinder.gov,Department Of Homeland Security,1,0,0,1,1,0,1,0,1,0,1,0,0,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,46.0,6
stopransomware.gov,Department Of Homeland Security,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,69.0,9
secretservice.gov,Department Of Homeland Security,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Homeland Security,United States Secret Service   ,Washington,DC,23.0,3
together.gov,Department Of Homeland Security,1,1,0,1,0,0,0,1,1,1,0,1,0,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,54.0,7
us-cert.gov,Department Of Homeland Security,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Homeland Security,US-CERT,Washington,DC,23.0,3
usss.gov,Department Of Homeland Security,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Homeland Security,United States Secret Service,Washington,DC,23.0,3
uscis.gov,Department Of Homeland Security,1,0,0,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Department of Homeland Security,USCIS,Washington,DC,62.0,8
tsa.gov,Department Of Homeland Security,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Homeland Security,Transportation Security Administration,Arlington,VA,23.0,3
schoolsafety.gov,Department Of Homeland Security,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,69.0,9
hudhomestore.gov,Department Of Housing And Urban Development,1,0,1,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,23.0,3
disasterhousing.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,54.0,7
ginniemae.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Housing and Urban Development,Government National Mortgage Association,Washington,DC,23.0,3
hud.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Housing and Urban Development,Web Master  Pulic Affair,Washington,DC,54.0,7
nationalhousing.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,54.0,7
nationalhousinglocator.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,54.0,7
ada.gov,Department Of Justice,1,1,0,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Department of Justice,Civil Rights Division,Washington,DC,85.0,11
huduser.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",Washington,DC,23.0,3
