"name","Organization.name","n","mean_score"
"Department Of Energy","Savannah River National Lab",1,92
"Department Of Energy","The National Isotope Development Center ",1,23
"Department Of Health And Human Services","Administration for Strategic Preparedness and Response",1,69
"Department Of Health And Human Services","Assistant Secretary for Financial Resources, Office of the Secretary",1,15
"Department Of Health And Human Services","Assistant Secretary for Planning and Evaluation, Office of the Secretary",1,15
"Department Of Health And Human Services","Assistant Secretary for Preparedness and Response, Office of the Secretary",1,8
"Department Of Health And Human Services","Department of Health and Human Services",1,31
"Department Of Health And Human Services","Department of Health and Human Services ",1,62
"Department Of Health And Human Services","FDA, Center for Tobacco Products",1,23
"Department Of Health And Human Services","Indian Health Service / Office of IT",1,62
"Department Of Health And Human Services","National Center for Advancing Translational Sciences",1,85
"Department Of Health And Human Services","National Heart, Lung & Blood Institute, NIH",1,54
"Department Of Health And Human Services","National Institute on Alcohol Abuse and Alcoholism, NIH",1,31
"Department Of Health And Human Services","National Institute on Drug Abuse, NIH",1,77
"Department Of Health And Human Services","National Institutes of Diabetes and Digestive and Kidney Diseases, NIH",1,77
"Department Of Health And Human Services","National Institutes on Aging, NIH",1,23
"Department Of Health And Human Services","Office of Global Affairs, Office of the Secretary",1,85
"Department Of Health And Human Services","Office of Grants, Division of Workforce Development",1,15
"Department Of Health And Human Services","Office of the National Coordinator, Office of the Secretary",1,31
"Department Of Health And Human Services","Office of the Surgeon General, Office of the Secretary",1,69
"Department Of Health And Human Services","Program Support Center, Office of the Secretary",1,85
"Department Of Health And Human Services","SAMHSA Office of Communications",1,54
"Department Of Homeland Security","Department of Homeland Security, Office of the Chief Information Officer",1,23
"Department Of Homeland Security","Office for Domestic Preparedness",1,15
"Department Of Homeland Security","Transportation Security Administration",1,23
"Department Of Homeland Security","U.S. Immigration and Customs Enforcement",1,54
"Department Of Homeland Security","US-CERT",1,23
"Department Of Homeland Security","US-VISIT",1,54
"Department Of Homeland Security","United States Secret Service",1,23
"Department Of Homeland Security","United States Secret Service   ",1,23
"Department Of Justice","Criminal Division",1,38
"Department Of Justice","Department of Justice, Civil Division",1,54
"Department Of Justice","Department of Justice, National Institute of Corrections",1,23
"Department Of Justice","Department of Justice, Office of e-Government",1,15
"Department Of Justice","FBI CJIS",1,38
"Department Of Justice","Internet Crime Complaint Center",1,31
"Department Of Justice","National Virtual Translation Center",1,85
"Department Of Justice","Office of Justice Programs ",1,69
"Department Of Justice","RCFL",1,85
"Department Of Justice","Terrorist Screening Center",1,85
"Department Of Justice","U.S Immigration and Customs Enforcement",1,38
"Department Of Justice","U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",1,85
"Department Of Justice","U.S. Department of Justice, National Security Division",1,54
"Department Of Justice","U.S. Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",1,69
"Department Of Labor","Employment and Training Administration (ETA) - Office of Job Corps",1,38
"Department Of Labor","Mine Safety and Health Administration",1,23
"Department Of Labor","Office of the Assistant Secretary for Administration & Management",1,92
"Department Of The Interior","Advisory Committee on Water Information",1,8
"Department Of The Interior","Aviation Management Directorate",1,8
"Department Of The Interior","Bureau of Land Management - Utah Fire Info Domain",1,62
"Department Of The Interior","Bureau of Reclamation",1,15
"Department Of The Interior","DOI - Bureau of Trust Funds Administration",1,46
"Department Of The Interior","National Business Center",1,77
"Department Of The Interior","National Fire Plan Operations & Reporting System",1,8
"Department Of The Interior","Office of Surface Mining",1,15
"Department Of The Interior","Office of the Chief Information Officer",1,77
"Department Of The Interior","U.S. DEPARTMENT OF INTERIOR / OIG",1,23
"Department Of The Interior","US Geological Survey",1,15
"Department Of The Interior","USGS/Denver Federal Center",1,15
"Department Of The Interior","Yosemite National Park",1,15
"Department Of The Treasury","Bureau of the Fiscal Service",1,15
"Department Of The Treasury","CDFI",1,23
"Department Of The Treasury","Citizens Coinage Advisory Committee (Mint)",1,8
"Department Of The Treasury","Department of the Treasury",1,23
"Department Of The Treasury","Department of the Treasury / FSOC",1,77
"Department Of The Treasury","Departmental Offices ",1,69
"Department Of The Treasury","OCIO",1,77
"Department Of The Treasury","Office of Financial Research (OFR)",1,31
"Department Of The Treasury","Special IG for Pandemic Recovery",1,23
"Department Of The Treasury","Special Inspector General for the Troubled Asset Relief Program",1,23
"Department Of The Treasury","TCS",1,69
"Department Of The Treasury","Treasury Inspector General for Tax Administration",1,23
"Executive Office Of The President","Council on Environmental Quality",1,15
"Executive Office Of The President","Domestic Policy Council",1,31
"Executive Office Of The President","National Nanotechnology Coordination Office",1,15
"Executive Office Of The President","National Quantum Coordination Office (NQCO)",1,92
"Executive Office Of The President","Office of National Drug Control Policy",1,85
"Executive Office Of The President","Office of Science and Technology Policy - White House",1,85
"Executive Office Of The President","United States Trade Representative",1,46
"Executive Office Of The President","White House",1,92
"General Services Administration","400 Years of African American History Commission",1,31
"General Services Administration","Civilian Board of Contract Appeals",1,15
"General Services Administration","GSA Office of Inspector General",1,31
"General Services Administration","GSA, CIO.GOV",1,62
"General Services Administration","GSA, FAS, Acquisition",1,69
